Date,Index
2017-02-14,567.0
2017-02-13,609.0
2017-02-10,687.0
2017-02-09,728.0
2017-02-08,725.0
2017-02-07,803.0
2017-02-06,911.0
2017-02-03,981.0
2017-02-02,1064.0
2017-02-01,1122.0
2017-01-31,1167.0
2017-01-30,1205.0
2017-01-27,1239.0
2017-01-26,1287.0
2017-01-25,1369.0
2017-01-24,1466.0
2017-01-23,1579.0
2017-01-20,1610.0
2017-01-19,1665.0
2017-01-18,1673.0
2017-01-17,1509.0
2017-01-16,1468.0
2017-01-13,1383.0
2017-01-12,1294.0
2017-01-11,1326.0
2017-01-10,1470.0
2017-01-09,1598.0
2017-01-06,1658.0
2017-01-05,1759.0
2017-01-04,1674.0
2017-01-03,1538.0
2016-12-23,1385.0
2016-12-22,1219.0
2016-12-21,1144.0
2016-12-20,1044.0
2016-12-19,1039.0
2016-12-16,1048.0
2016-12-15,1058.0
2016-12-14,1169.0
2016-12-13,1404.0
2016-12-12,1464.0
2016-12-09,1575.0
2016-12-08,1724.0
2016-12-07,1935.0
2016-12-06,2067.0
2016-12-05,2137.0
2016-12-02,2193.0
2016-12-01,2206.0
2016-11-30,2263.0
2016-11-29,2304.0
2016-11-28,2260.0
2016-11-25,2263.0
2016-11-24,2374.0
2016-11-23,2507.0
2016-11-22,2598.0
2016-11-21,2638.0
2016-11-18,2752.0
2016-11-17,2731.0
2016-11-16,2441.0
2016-11-15,2282.0
2016-11-14,2338.0
2016-11-11,2303.0
2016-11-10,2010.0
2016-11-09,1954.0
2016-11-08,1786.0
2016-11-07,1636.0
2016-11-04,1593.0
2016-11-03,1544.0
2016-11-02,1451.0
2016-11-01,1443.0
2016-10-31,1534.0
2016-10-28,1417.0
2016-10-27,1248.0
2016-10-26,1275.0
2016-10-25,1348.0
2016-10-24,1471.0
2016-10-21,1575.0
2016-10-20,1637.0
2016-10-19,1826.0
2016-10-18,1950.0
2016-10-17,2003.0
2016-10-14,2018.0
2016-10-13,2018.0
2016-10-12,2154.0
2016-10-11,2235.0
2016-10-10,2235.0
2016-10-07,2245.0
2016-10-06,2218.0
2016-10-05,2012.0
2016-10-04,1970.0
2016-10-03,1971.0
2016-09-30,2008.0
2016-09-29,2067.0
2016-09-28,2196.0
2016-09-27,2298.0
2016-09-26,2325.0
2016-09-23,2383.0
2016-09-22,2389.0
2016-09-21,2118.0
2016-09-20,1964.0
2016-09-19,1853.0
2016-09-16,1680.0
2016-09-15,1487.0
2016-09-14,1444.0
2016-09-13,1607.0
2016-09-12,1581.0
2016-09-09,1566.0
2016-09-08,1478.0
2016-09-07,1371.0
2016-09-06,1182.0
2016-09-05,1079.0
2016-09-02,1054.0
2016-09-01,1002.0
2016-08-31,978.0
2016-08-30,986.0
2016-08-26,1001.0
2016-08-25,974.0
2016-08-24,910.0
2016-08-23,861.0
2016-08-22,848.0
2016-08-19,843.0
2016-08-18,852.0
2016-08-17,885.0
2016-08-16,926.0
2016-08-15,920.0
2016-08-12,891.0
2016-08-11,833.0
2016-08-10,795.0
2016-08-09,770.0
2016-08-08,777.0
2016-08-05,770.0
2016-08-04,759.0
2016-08-03,758.0
2016-08-02,757.0
2016-08-01,757.0
2016-07-29,768.0
2016-07-28,780.0
2016-07-27,803.0
2016-07-26,841.0
2016-07-25,877.0
2016-07-22,895.0
2016-07-21,906.0
2016-07-20,937.0
2016-07-19,986.0
2016-07-18,1016.0
2016-07-15,1023.0
2016-07-14,1020.0
2016-07-13,1010.0
2016-07-12,987.0
2016-07-11,991.0
2016-07-08,1002.0
2016-07-07,1008.0
2016-07-06,1019.0
2016-07-05,1034.0
2016-07-04,1049.0
2016-07-01,1030.0
2016-06-30,996.0
2016-06-29,955.0
2016-06-28,936.0
2016-06-27,919.0
2016-06-24,913.0
2016-06-23,897.0
2016-06-22,878.0
2016-06-21,873.0
2016-06-20,897.0
2016-06-17,927.0
2016-06-16,976.0
2016-06-15,1000.0
2016-06-14,1018.0
2016-06-13,1014.0
2016-06-10,1006.0
2016-06-09,995.0
2016-06-08,973.0
2016-06-07,920.0
2016-06-06,922.0
2016-06-03,913.0
2016-06-02,854.0
2016-06-01,861.0
2016-05-31,854.0
2016-05-27,830.0
2016-05-26,793.0
2016-05-25,799.0
2016-05-24,848.0
2016-05-23,870.0
2016-05-20,870.0
2016-05-19,906.0
2016-05-18,954.0
2016-05-17,988.0
2016-05-16,854.0
2016-05-13,798.0
2016-05-12,724.0
2016-05-11,713.0
2016-05-10,752.0
2016-05-09,837.0
2016-05-06,892.0
2016-05-05,915.0
2016-05-04,954.0
2016-05-03,1055.0
2016-04-29,1117.0
2016-04-28,1137.0
2016-04-27,1160.0
2016-04-26,1135.0
2016-04-25,1087.0
2016-04-22,1085.0
2016-04-21,1004.0
2016-04-20,1022.0
2016-04-19,1065.0
2016-04-18,1030.0
2016-04-15,949.0
2016-04-14,831.0
2016-04-13,744.0
2016-04-12,744.0
2016-04-11,733.0
2016-04-08,656.0
2016-04-07,562.0
2016-04-06,477.0
2016-04-05,466.0
2016-04-04,424.0
2016-04-01,345.0
2016-03-31,270.0
2016-03-30,210.0
2016-03-29,207.0
2016-03-24,203.0
2016-03-23,196.0
2016-03-22,186.0
2016-03-21,197.0
2016-03-18,197.0
2016-03-17,178.0
2016-03-16,172.0
2016-03-15,186.0
2016-03-14,179.0
2016-03-11,176.0
2016-03-10,178.0
2016-03-09,178.0
2016-03-08,180.0
2016-03-07,161.0
2016-03-04,164.0
2016-03-03,166.0
2016-03-02,171.0
2016-03-01,174.0
2016-02-29,174.0
2016-02-26,177.0
2016-02-25,182.0
2016-02-24,186.0
2016-02-23,189.0
2016-02-22,197.0
2016-02-19,207.0
2016-02-18,220.0
2016-02-17,223.0
2016-02-16,223.0
2016-02-15,204.0
2016-02-12,199.0
2016-02-11,206.0
2016-02-10,208.0
2016-02-09,207.0
2016-02-08,207.0
2016-02-05,212.0
2016-02-04,208.0
2016-02-03,209.0
2016-02-02,217.0
2016-02-01,215.0
2016-01-29,211.0
2016-01-28,216.0
2016-01-27,235.0
2016-01-26,242.0
2016-01-25,254.0
2016-01-22,229.0
2016-01-21,206.0
2016-01-20,186.0
2016-01-19,185.0
2016-01-18,197.0
2016-01-15,198.0
2016-01-14,225.0
2016-01-13,245.0
2016-01-12,266.0
2016-01-11,314.0
2016-01-08,343.0
2016-01-07,399.0
2016-01-06,467.0
2016-01-05,462.0
2016-01-04,472.0
2015-12-24,470.0
2015-12-23,469.0
2015-12-22,485.0
2015-12-21,512.0
2015-12-18,524.0
2015-12-17,524.0
2015-12-16,549.0
2015-12-15,623.0
2015-12-14,722.0
2015-12-11,779.0
2015-12-10,824.0
2015-12-09,857.0
2015-12-08,870.0
2015-12-07,852.0
2015-12-04,890.0
2015-12-03,931.0
2015-12-02,1001.0
2015-12-01,1046.0
2015-11-30,1007.0
2015-11-27,989.0
2015-11-26,898.0
2015-11-25,807.0
2015-11-24,731.0
2015-11-23,698.0
2015-11-20,606.0
2015-11-19,619.0
2015-11-18,671.0
2015-11-17,733.0
2015-11-16,770.0
2015-11-13,809.0
2015-11-12,881.0
2015-11-11,946.0
2015-11-10,1018.0
2015-11-09,1021.0
2015-11-06,1003.0
2015-11-05,1002.0
2015-11-04,1043.0
2015-11-03,1099.0
2015-11-02,1184.0
2015-10-30,1229.0
2015-10-29,1254.0
2015-10-28,1275.0
2015-10-27,1307.0
2015-10-26,1403.0
2015-10-23,1461.0
2015-10-22,1512.0
2015-10-21,1483.0
2015-10-20,1399.0
2015-10-19,1312.0
2015-10-16,1318.0
2015-10-15,1368.0
2015-10-14,1457.0
2015-10-13,1531.0
2015-10-12,1551.0
2015-10-09,1549.0
2015-10-08,1598.0
2015-10-07,1742.0
2015-10-06,1860.0
2015-10-05,1901.0
2015-10-02,1931.0
2015-10-01,1911.0
2015-09-30,1936.0
2015-09-29,2031.0
2015-09-28,2075.0
2015-09-25,2024.0
2015-09-24,1911.0
2015-09-23,1872.0
